domain,adj.r.squared,source
O43395_PF01480_10,0.20471216199599984,Domainome 1.0
O43586_PF00018_361,0.49680118812785223,Domainome 1.0
O60281_PF00096_808,0.18803969362736528,Domainome 1.0
O60293_PF10650_1186,0.1953081525770426,Domainome 1.0
O60341_PF04433_186,0.02487820416209241,Domainome 1.0
O60481_PF00096_389,0.08015225666745074,Domainome 1.0
O60885_PF17035_607,0.19082768492358937,Domainome 1.0
O75112_PF00595_1,0.345134057637117,Domainome 1.0
O75360_PF00046_71,0.24614889831846198,Domainome 1.0
O75366_PF02209_785,0.20781013812590332,Domainome 1.0
O75369_PF00630_1423,0.27440931374030064,Domainome 1.0
O75369_PF00630_2109,0.1253213640411751,Domainome 1.0
O75369_PF00630_2289,0.3255283930820535,Domainome 1.0
O75382_PF00643_111,0.306238514153523,Domainome 1.0
O75400_PF00397_176,0.22089648501316794,Domainome 1.0
O75400_PF01846_395,0.1320500279108454,Domainome 1.0
O75400_PF01846_459,0.018191876735214607,Domainome 1.0
O75400_PF01846_670,0.1209172848132164,Domainome 1.0
O75400_PF01846_745,0.0037838078130248975,Domainome 1.0
O75478_PF04433_375,0.20046037065177025,Domainome 1.0
O75534_PF00313_184,0.3681518775860002,Domainome 1.0
O75534_PF00313_23,0.36600907015736095,Domainome 1.0
O75534_PF00313_347,0.3064104281081059,Domainome 1.0
O75554_PF06220_8,0.15660359225443055,Domainome 1.0
O75808_PF00641_4,0.17253299949941958,Domainome 1.0
O75953_PF00226_4,0.09801854654572761,Domainome 1.0
O75970_PF00595_1003,0.5396279129038533,Domainome 1.0
O75970_PF00595_1860,0.3618936396254152,Domainome 1.0
O75970_PF00595_372,0.5163247830506335,Domainome 1.0
O75970_PF00595_693,0.4820565848069036,Domainome 1.0
O94830_PF00536_389,0.08355844645320021,Domainome 1.0
O94885_PF00536_630,0.4567687341733866,Domainome 1.0
O94929_PF00412_149,0.4056730579072293,Domainome 1.0
O94929_PF00412_210,0.12459210401313292,Domainome 1.0
O94993_PF00505_338,0.23693655775689337,Domainome 1.0
O95076_PF00046_155,0.14870311122309854,Domainome 1.0
O95155_PF04564_1229,0.35073667886224236,Domainome 1.0
O95218_PF00641_11,0.12665761327075065,Domainome 1.0
O95218_PF00641_9,0.1350877576500833,Domainome 1.0
O95267_PF00130_539,0.40141312716089095,Domainome 1.0
O95343_PF00046_212,0.29405438388074634,Domainome 1.0
O95409_PF18366_250,0.09607143340665936,Domainome 1.0
O95475_PF00046_134,0.2652910948346946,Domainome 1.0
O95714_PF11515_2555,0.17902774534103594,Domainome 1.0
O95718_PF00105_100,0.05595642532895695,Domainome 1.0
O95789_PF06467_427,0.35564027342310633,Domainome 1.0
O95789_PF06467_469,0.23228477560469452,Domainome 1.0
O95793_PF00035_183,0.289827972282492,Domainome 1.0
O95817_PF00397_11,0.2867376715821005,Domainome 1.0
O95835_PF00627_98,0.39465170800247473,Domainome 1.0
P00519_PF00018_64,0.30545651867986523,Domainome 1.0
P01053_PF00280_22,0.25921345118788386,Domainome 1.0
P02417_PF01281_1,0.07075400915628915,Domainome 1.0
P02549_PF00018_979,0.23424501030567957,Domainome 1.0
P02585_PF13499_1,0.2629903773873795,Domainome 1.0
P02633_PF01023_1,0.23581487793166922,Domainome 1.0
P02640_PF02209_762,0.39246290928424166,Domainome 1.0
P02640_PF02209_792,0.28594495125916475,Domainome 1.0
P03034_PF01381_4,0.25355717803337974,Domainome 1.0
P04049_PF02196_58,0.18192026106261594,Domainome 1.0
P04150_PF00105_419,0.11281821123646196,Domainome 1.0
P05813_PF00030_31,0.3513583952425108,Domainome 1.0
P06239_PF00018_63,0.47224384022535937,Domainome 1.0
P06241_PF00018_83,0.3206803770713589,Domainome 1.0
P07315_PF00030_4,0.19366598064944296,Domainome 1.0
P07315_PF00030_91,0.27594001612555785,Domainome 1.0
P07316_PF00030_1,0.1722313685006014,Domainome 1.0
P07316_PF00030_87,0.3001597244730113,Domainome 1.0
P07320_PF00030_90,0.18299540172742512,Domainome 1.0
P07751_PF00018_968,0.48504387490466694,Domainome 1.0
P07814_PF00458_827,0.0883323857826579,Domainome 1.0
P08151_PF00096_363,0.0029501451658154876,Domainome 1.0
P08235_PF00105_600,0.07518949148064691,Domainome 1.0
P08631_PF00018_80,0.2809439219668791,Domainome 1.0
P09086_PF00157_200,0.18655347523912025,Domainome 1.0
P09327_PF02209_793,0.18544476204336402,Domainome 1.0
P0A9X9_PF00313_3,0.4233779755623782,Domainome 1.0
P0CI26_PF00643_87,0.3049013814568068,Domainome 1.0
P10070_PF00096_565,0.0018102190521230854,Domainome 1.0
P10071_PF00096_608,0.002558575900154514,Domainome 1.0
P10242_PF00249_143,0.23904400160311412,Domainome 1.0
P10242_PF00249_40,0.4980277674975857,Domainome 1.0
P10275_PF00105_557,0.14218888377905403,Domainome 1.0
P10398_PF02196_21,0.14564040511748544,Domainome 1.0
P10589_PF00105_83,0.08228372208942059,Domainome 1.0
P10826_PF00105_85,0.1280504729030718,Domainome 1.0
P11182_PF02817_171,0.11146481112527717,Domainome 1.0
P11308_PF02198_117,0.4774839486562117,Domainome 1.0
P11844_PF00030_85,0.23974222376474175,Domainome 1.0
P11961_PF02817_126,0.06393440510729265,Domainome 1.0
P12081_PF00458_8,0.12431147143397203,Domainome 1.0
P12931_PF00018_87,0.2886249367921837,Domainome 1.0
P12956_PF02037_558,0.19137464696224626,Domainome 1.0
P13796_PF13499_13,0.3974290634910207,Domainome 1.0
P13984_PF02270_177,0.3565609961323376,Domainome 1.0
P14598_PF00018_157,0.5785987867616758,Domainome 1.0
P14653_PF00046_208,0.16447622347551039,Domainome 1.0
P14859_PF00157_285,0.1829182200893944,Domainome 1.0
P14921_PF02198_55,0.4757094707981625,Domainome 1.0
P15056_PF02196_153,0.267424714465906,Domainome 1.0
P15498_PF00018_592,0.4936821406256615,Domainome 1.0
P15498_PF00018_782,0.454434379055369,Domainome 1.0
P16157_PF00531_1405,0.14183087821898432,Domainome 1.0
P16885_PF00018_772,0.2280574421347381,Domainome 1.0
P16989_PF00313_84,0.1701458827564265,Domainome 1.0
P17480_PF00505_408,0.3382079789844331,Domainome 1.0
P19793_PF00105_132,0.06126505122904047,Domainome 1.0
P19873_PF00280_1,0.20850219248872182,Domainome 1.0
P19878_PF00018_241,0.468056273355133,Domainome 1.0
P19878_PF00018_456,0.1663824659140053,Domainome 1.0
P19878_PF00564_353,0.18109438150118629,Domainome 1.0
P20264_PF00046_408,0.2323844312098159,Domainome 1.0
P20264_PF00157_320,0.19540186752858923,Domainome 1.0
P20265_PF00046_356,0.2380123443336296,Domainome 1.0
P20265_PF00157_262,0.2730642078758815,Domainome 1.0
P20929_PF14604_6609,0.2884309834119876,Domainome 1.0
P20936_PF00018_281,0.43378954271292613,Domainome 1.0
P22492_PF00538_44,0.10063536479555313,Domainome 1.0
P22681_PF00627_854,0.27298704347612834,Domainome 1.0
P22914_PF00030_96,0.19544893512806938,Domainome 1.0
P23759_PF00046_219,0.17811593566570283,Domainome 1.0
P25490_PF00096_384,0.10198271502750844,Domainome 1.0
P25685_PF00226_4,0.19766556202672902,Domainome 1.0
P26367_PF00046_213,0.2313911256146357,Domainome 1.0
P26651_PF00642_105,0.16823700679902354,Domainome 1.0
P28069_PF00157_130,0.2491165109252944,Domainome 1.0
P28360_PF00046_174,0.13549499631406248,Domainome 1.0
P32081_PF00313_1,0.48075291471370607,Domainome 1.0
P32243_PF00046_40,0.16644650458418753,Domainome 1.0
P35251_PF00533_405,0.2246139553244625,Domainome 1.0
P35548_PF00046_144,0.1132293270870155,Domainome 1.0
P35711_PF00505_557,0.13943268928324482,Domainome 1.0
P35712_PF00505_622,0.15219031610713007,Domainome 1.0
P35713_PF00505_87,0.14020729208412408,Domainome 1.0
P35716_PF00505_50,0.18731100573721127,Domainome 1.0
P36075_PF02845_9,0.5118547503935875,Domainome 1.0
P37275_PF00096_933,0.2513265233845876,Domainome 1.0
P39880_PF00046_1246,0.16044140334744061,Domainome 1.0
P39880_PF02376_548,0.26381303842733883,Domainome 1.0
P39880_PF02376_941,0.0661793751094627,Domainome 1.0
P39940_PF00397_324,0.5232112030703728,Domainome 1.0
P40040_PF02037_1,0.39814189705273595,Domainome 1.0
P41002_PF00646_28,0.4075137287633278,Domainome 1.0
P41016_PF00313_1,0.4123729365738952,Domainome 1.0
P41225_PF00505_140,0.16129832305744163,Domainome 1.0
P41229_PF00628_319,0.393543250944538,Domainome 1.0
P42766_PF00831_9,0.01981445197615772,Domainome 1.0
P43320_PF00030_106,0.1595969738316989,Domainome 1.0
P43354_PF00105_260,0.07837900818534327,Domainome 1.0
P45973_PF00385_21,0.3417241666485731,Domainome 1.0
P46934_PF00397_836,0.4661674919941041,Domainome 1.0
P46937_PF00397_162,0.4813235375628213,Domainome 1.0
P46937_PF00397_165,0.41969473099032395,Domainome 1.0
P46937_PF00397_226,0.38472705330095835,Domainome 1.0
P47974_PF00642_193,0.15310566223999011,Domainome 1.0
P48431_PF00505_42,0.12956343776239743,Domainome 1.0
P49335_PF00046_280,0.18195238778584644,Domainome 1.0
P49792_PF00641_1414,0.2908762137593738,Domainome 1.0
P49792_PF00641_1478,0.10014794991623688,Domainome 1.0
P50539_PF00010_70,0.052342629120045614,Domainome 1.0
P51451_PF00018_59,0.43629638620812605,Domainome 1.0
P51508_PF00096_331,0.0892074896544206,Domainome 1.0
P51508_PF00096_555,0.08542385482014248,Domainome 1.0
P51532_PF07533_612,0.03555511461928973,Domainome 1.0
P51608_PF01429_91,0.16106938378204794,Domainome 1.0
P51687_PF00173_87,0.1594515583438415,Domainome 1.0
P53673_PF00030_14,0.2506480166327302,Domainome 1.0
P53674_PF00030_57,0.14748051879584867,Domainome 1.0
P53804_PF13639_1957,0.3719674714024346,Domainome 1.0
P54277_PF00505_572,0.1495317406577218,Domainome 1.0
P54727_PF00627_186,0.4817280292580084,Domainome 1.0
P54727_PF00627_361,0.2763564296807821,Domainome 1.0
P54821_PF00046_96,0.13306122412239696,Domainome 1.0
P55072_PF02359_26,0.37097458917489323,Domainome 1.0
P55265_PF02295_136,0.49842189388179403,Domainome 1.0
P55265_PF02295_296,0.22129558432483765,Domainome 1.0
P55895_PF13341_415,0.1689470721376508,Domainome 1.0
P56915_PF00046_162,0.19575751921703632,Domainome 1.0
P57071_PF00096_1085,0.1504051400859464,Domainome 1.0
P57073_PF00505_103,0.047073773548153786,Domainome 1.0
P60002_PF05129_3,0.2010325440453843,Domainome 1.0
P60321_PF05741_63,0.31444823894223595,Domainome 1.0
P61024_PF01111_1,0.3391390749087172,Domainome 1.0
P61086_PF00627_158,0.4219199946685449,Domainome 1.0
P61960_PF03671_4,0.08470272363960285,Domainome 1.0
P61978_PF00013_385,0.20669314978093967,Domainome 1.0
P62993_PF00018_159,0.4236395163371235,Domainome 1.0
P67809_PF00313_52,0.3338380095366701,Domainome 1.0
P78352_PF00595_157,0.2593127969122808,Domainome 1.0
P78352_PF00595_309,0.3147646479885654,Domainome 1.0
P78352_PF00595_60,0.10184200799917409,Domainome 1.0
P78424_PF00046_609,0.23330240805010505,Domainome 1.0
P78545_PF02198_50,0.4311553399064961,Domainome 1.0
P78563_PF00035_80,0.4399152779625095,Domainome 1.0
P82979_PF02037_3,0.4187537101930615,Domainome 1.0
P98175_PF00641_214,0.2860354604044222,Domainome 1.0
P98175_PF00641_216,0.16840614880053828,Domainome 1.0
Q00839_PF02037_6,0.20349324544948555,Domainome 1.0
Q00987_PF00641_299,0.4500936257264867,Domainome 1.0
Q01484_PF00531_3571,0.3576299847449055,Domainome 1.0
Q01543_PF02198_116,0.32616338790579635,Domainome 1.0
Q01826_PF02376_371,0.07327345068307722,Domainome 1.0
Q01826_PF02376_494,0.15290996004324586,Domainome 1.0
Q01826_PF16557_178,0.1322952594671929,Domainome 1.0
Q01851_PF00157_266,0.296460483922553,Domainome 1.0
Q01860_PF00157_134,0.1221676970155412,Domainome 1.0
Q03052_PF00157_247,0.2933299744260063,Domainome 1.0
Q03164_PF02008_1148,0.05195209865042183,Domainome 1.0
Q03181_PF00105_71,0.20218793630283793,Domainome 1.0
Q05066_PF00505_61,0.12594521143198056,Domainome 1.0
Q05086_PF16558_30,0.014421240440909977,Domainome 1.0
Q05195_PF00010_58,0.044507891544061096,Domainome 1.0
Q05655_PF00130_228,0.2970663757405212,Domainome 1.0
Q06187_PF00018_215,0.37646684954290655,Domainome 1.0
Q06546_PF02198_172,0.5109404600372649,Domainome 1.0
Q06787_PF00013_217,0.1676567639044021,Domainome 1.0
Q06945_PF00505_60,0.15685349599961607,Domainome 1.0
Q08881_PF00018_172,0.4471860477736299,Domainome 1.0
Q09472_PF02172_567,0.028200513974377728,Domainome 1.0
Q12824_PF04855_181,0.24500798847612082,Domainome 1.0
Q12830_PF00628_2862,0.40173973087302306,Domainome 1.0
Q12837_PF00157_256,0.2516745736968794,Domainome 1.0
Q12873_PF00628_374,0.2569603696705077,Domainome 1.0
Q12899_PF00643_97,0.34750195151080754,Domainome 1.0
Q12929_PF00018_533,0.34831588592545715,Domainome 1.0
Q12929_PF18016_720,0.21900900151374292,Domainome 1.0
Q12955_PF00531_4094,0.3428810281575023,Domainome 1.0
Q12965_PF00018_1051,0.42702099406559124,Domainome 1.0
Q13009_PF00595_843,0.398854333566075,Domainome 1.0
Q13148_PF18694_5,0.011417130103380302,Domainome 1.0
Q13158_PF01335_1,0.22319118895376333,Domainome 1.0
Q13163_PF00564_15,0.1150607399240946,Domainome 1.0
Q13263_PF00628_620,0.35396695655905186,Domainome 1.0
Q13368_PF00595_132,0.4299560597817046,Domainome 1.0
Q13424_PF00595_79,0.40402475901361745,Domainome 1.0
Q13472_PF06839_812,0.32959903449317185,Domainome 1.0
Q13472_PF06839_896,0.1939382082715687,Domainome 1.0
Q13501_PF00569_120,0.28129660091578756,Domainome 1.0
Q13501_PF16577_389,0.39492237418902365,Domainome 1.0
Q13526_PF00397_1,0.36875518282325503,Domainome 1.0
Q13642_PF00412_160,0.2968176687876335,Domainome 1.0
Q13642_PF00412_99,0.30912687474959755,Domainome 1.0
Q13813_PF13499_2327,0.26153998710512516,Domainome 1.0
Q14151_PF02037_27,0.29682494943752125,Domainome 1.0
Q14160_PF00595_857,0.46237673513183086,Domainome 1.0
Q14192_PF00412_38,0.28272305625463245,Domainome 1.0
Q14202_PF06467_350,0.45691744489465336,Domainome 1.0
Q14202_PF06467_405,0.4090578695753042,Domainome 1.0
Q14202_PF06467_589,0.39235492888431245,Domainome 1.0
Q14202_PF06467_629,0.2588165018619192,Domainome 1.0
Q14839_PF00385_623,0.26159579899002083,Domainome 1.0
Q14839_PF00628_365,0.2851652143359453,Domainome 1.0
Q14839_PF00628_444,0.4263361753686179,Domainome 1.0
Q14863_PF00157_139,0.2353872764758167,Domainome 1.0
Q14995_PF00105_103,0.1566374633912606,Domainome 1.0
Q14CM0_PF00595_75,0.5304041872641126,Domainome 1.0
Q14CS0_PF00789_256,0.12362229353794352,Domainome 1.0
Q15319_PF00157_185,0.2524538072073208,Domainome 1.0
Q15365_PF00013_278,0.33339254392984596,Domainome 1.0
Q15424_PF02037_26,0.315644805590394,Domainome 1.0
Q15475_PF00046_131,0.2158666790508288,Domainome 1.0
Q15554_PF00249_489,0.18076897482564425,Domainome 1.0
Q15699_PF00046_134,0.17321158165519135,Domainome 1.0
Q15811_PF00018_1003,0.3784875569955801,Domainome 1.0
Q15811_PF00018_1156,0.32783174136576176,Domainome 1.0
Q15811_PF00018_909,0.3806689371404799,Domainome 1.0
Q15811_PF07653_1003,0.3784875569955801,Domainome 1.0
Q15911_PF00046_2147,0.41072259391459176,Domainome 1.0
Q15911_PF00046_2244,0.3027294323970656,Domainome 1.0
Q15911_PF00046_2643,0.23500096224572864,Domainome 1.0
Q15942_PF00412_504,0.1871573889795174,Domainome 1.0
Q16512_PF02185_129,0.08069183618163656,Domainome 1.0
Q1KMD3_PF02037_1,0.3022123704422297,Domainome 1.0
Q2Q1W2_PF00643_274,0.5300877449336698,Domainome 1.0
Q3SY89_PF08711_3,0.22732957262582465,Domainome 1.0
Q5F1R6_PF12171_315,0.18411299632926748,Domainome 1.0
Q5HYK7_PF00018_664,0.4070438995005571,Domainome 1.0
Q5K651_PF07647_4,0.24655090960274462,Domainome 1.0
Q5SQQ9_PF00046_102,0.18846537016014198,Domainome 1.0
Q5TCQ9_PF00397_287,0.594278096057602,Domainome 1.0
Q5U5Q3_PF00013_325,0.2581094443733932,Domainome 1.0
Q5VTD9_PF00096_221,0.14419561249600543,Domainome 1.0
Q5VVJ2_PF00249_120,0.2329262814261871,Domainome 1.0
Q5VWI1_PF01846_448,0.0810362252195107,Domainome 1.0
Q61234_PF00595_80,0.28634389433598684,Domainome 1.0
Q68CP9_PF02257_523,0.18693788222917485,Domainome 1.0
Q68DC2_PF00536_774,0.4119847937376042,Domainome 1.0
Q6NWY9_PF01846_274,0.1853605323187667,Domainome 1.0
Q6P0N0_PF00249_878,0.5222096291869036,Domainome 1.0
Q6XZF7_PF00018_146,0.22084753231092547,Domainome 1.0
Q6XZF7_PF00018_1516,0.44192197614757434,Domainome 1.0
Q6XZF7_PF00018_242,0.433580746937699,Domainome 1.0
Q6XZF7_PF14604_147,0.35539973216491116,Domainome 1.0
Q6ZN01_PF02037_170,0.23013714883676373,Domainome 1.0
Q6ZSG1_PF13639_293,0.2713697717972914,Domainome 1.0
Q6ZVD7_PF10264_112,0.38004169667686527,Domainome 1.0
Q6ZWJ1_PF00397_493,0.385631669847309,Domainome 1.0
Q7L590_PF09329_383,0.24521158982715763,Domainome 1.0
Q7Z3T8_PF01363_744,0.3805672453833152,Domainome 1.0
Q7Z4I7_PF00412_13,0.43805425882299653,Domainome 1.0
Q7Z5Q1_PF16366_513,0.2807622290792172,Domainome 1.0
Q7Z6B7_PF00018_744,0.32369270597927513,Domainome 1.0
Q7Z6G8_PF00536_812,0.4629931789901728,Domainome 1.0
Q7Z6W7_PF00226_3,0.28265754360258455,Domainome 1.0
Q7Z6Z7_PF00627_1316,0.1327260020773653,Domainome 1.0
Q86U86_PF00505_1383,0.3170382731662469,Domainome 1.0
Q86UL8_PF00397_296,0.5563951083922605,Domainome 1.0
Q86UL8_PF00595_1144,0.37436935138176397,Domainome 1.0
Q86UL8_PF00595_601,0.2538506386148923,Domainome 1.0
Q86UL8_PF00595_774,0.5018103791434029,Domainome 1.0
Q86UP3_PF00046_2086,0.26828179092423443,Domainome 1.0
Q86UP3_PF00046_2183,0.2370396915449734,Domainome 1.0
Q86UP3_PF00046_2562,0.21318540688774923,Domainome 1.0
Q86VP1_PF18112_729,0.3474108107676964,Domainome 1.0
Q86WN1_PF14604_467,0.3899016806401182,Domainome 1.0
Q86XK2_PF02207_849,0.37507783491861046,Domainome 1.0
Q86XN8_PF00013_273,0.24863060201297849,Domainome 1.0
Q86YT6_PF18346_247,0.08032197268495822,Domainome 1.0
Q8IV48_PF02037_65,0.4893277906322462,Domainome 1.0
Q8IWR0_PF00642_906,0.17050033571991685,Domainome 1.0
Q8IWT3_PF01485_2234,0.06308528723626872,Domainome 1.0
Q8IWT3_PF11515_367,0.06843701121754608,Domainome 1.0
Q8IX12_PF02037_625,0.2323287073312933,Domainome 1.0
Q8IYH5_PF00249_653,0.33248537528301625,Domainome 1.0
Q8IZQ8_PF02037_363,0.3170064162589791,Domainome 1.0
Q8IZT6_PF00612_1877,0.31970162745484587,Domainome 1.0
Q8N157_PF00018_1053,0.4513138315279822,Domainome 1.0
Q8N1P7_PF00030_1358,0.2632570112842886,Domainome 1.0
Q8N1W1_PF00130_651,0.4422075541214193,Domainome 1.0
Q8N3X1_PF00397_200,0.19057880614705403,Domainome 1.0
Q8N3X1_PF00397_593,0.2768212158629072,Domainome 1.0
Q8N5C8_PF02845_12,0.4523606440071015,Domainome 1.0
Q8N8B7_PF08711_30,0.06459698605550279,Domainome 1.0
Q8NB78_PF07496_139,0.09377555512585156,Domainome 1.0
Q8ND56_PF12701_7,0.14008976862170308,Domainome 1.0
Q8NEA6_PF00096_414,0.03938572694901987,Domainome 1.0
Q8NEA6_PF00096_473,0.0023164660433021567,Domainome 1.0
Q8NEZ5_PF00646_25,0.04530506100795395,Domainome 1.0
Q8NFW5_PF00046_73,0.1969630615882737,Domainome 1.0
Q8NHM5_PF16866_656,0.2334913024154418,Domainome 1.0
Q8TAQ2_PF00249_599,0.3438311070284866,Domainome 1.0
Q8TAT5_PF00641_316,0.3173964527366473,Domainome 1.0
Q8TDD2_PF00096_325,0.10717546529276012,Domainome 1.0
Q8TDI0_PF00628_338,0.24260668193411072,Domainome 1.0
Q8TDI0_PF00628_411,0.2845489963288754,Domainome 1.0
Q8TDI0_PF08073_132,0.1236617555424766,Domainome 1.0
Q8TEW0_PF00595_457,0.416698432144319,Domainome 1.0
Q8TEW8_PF00595_380,0.21414823584259202,Domainome 1.0
Q8WU90_PF18044_104,0.2863444180639837,Domainome 1.0
Q8WWH4_PF07647_273,0.39234883587465597,Domainome 1.0
Q8WXI2_PF00536_9,0.4972389183368793,Domainome 1.0
Q8WXI9_PF00320_415,0.12284366073231257,Domainome 1.0
Q92734_PF00564_6,0.12731457382095324,Domainome 1.0
Q92796_PF00595_222,0.24420652503869789,Domainome 1.0
Q92796_PF00595_383,0.21481958466713202,Domainome 1.0
Q92922_PF00249_620,0.3325822622982879,Domainome 1.0
Q92945_PF00013_142,0.3258017180043381,Domainome 1.0
Q92997_PF00778_2,0.08672445406218887,Domainome 1.0
Q969G3_PF00505_67,0.18979647259246546,Domainome 1.0
Q969V6_PF02037_341,0.287895470598317,Domainome 1.0
Q96AE4_PF00013_184,0.3192749707970076,Domainome 1.0
Q96AE4_PF00013_98,0.3206594432530747,Domainome 1.0
Q96CB8_PF00628_155,0.4399665845098095,Domainome 1.0
Q96DX7_PF00643_174,0.5144029036258644,Domainome 1.0
Q96FX2_PF05207_6,0.1837448518803455,Domainome 1.0
Q96GE6_PF13499_123,0.19370855083435135,Domainome 1.0
Q96GE6_PF13499_48,0.29257017101908456,Domainome 1.0
Q96GM8_PF00642_298,0.4348444750220667,Domainome 1.0
Q96I24_PF00013_75,0.3723814228403203,Domainome 1.0
Q96J02_PF00397_428,0.15934081819300494,Domainome 1.0
Q96J02_PF00397_474,0.3681109356129375,Domainome 1.0
Q96JN0_PF05225_353,0.27003014416077287,Domainome 1.0
Q96JY0_PF09011_3,0.22821953689619512,Domainome 1.0
Q96JY6_PF00412_284,0.2596323171409657,Domainome 1.0
Q96K80_PF00642_138,0.36712398187987505,Domainome 1.0
Q96KC8_PF00249_494,0.42500217394482565,Domainome 1.0
Q96L93_PF00787_1213,0.0026218450762798273,Domainome 1.0
Q96PU5_PF00397_184,0.10983697227341871,Domainome 1.0
Q96PU5_PF00397_381,0.346510621509335,Domainome 1.0
Q96PU5_PF00397_539,0.29752088700217083,Domainome 1.0
Q96QS3_PF00046_330,0.1598796762971586,Domainome 1.0
Q96QZ7_PF00397_294,0.474429945937883,Domainome 1.0
Q96QZ7_PF00397_352,0.31812152419456907,Domainome 1.0
Q96RT1_PF00595_1321,0.4826400297951381,Domainome 1.0
Q96T51_PF01363_639,0.26480044437099115,Domainome 1.0
Q99501_PF02187_209,0.06427063165578906,Domainome 1.0
Q99543_PF00249_451,0.3779355047433338,Domainome 1.0
Q99615_PF00226_382,0.17200791675532123,Domainome 1.0
Q99684_PF00096_256,0.20346512899697156,Domainome 1.0
Q99684_PF00096_313,0.17087698335503487,Domainome 1.0
Q9BRP0_PF00096_215,0.3848899612194374,Domainome 1.0
Q9BTC0_PF00628_263,0.26297380433413076,Domainome 1.0
Q9BTC8_PF00249_265,0.11583833301716062,Domainome 1.0
Q9BUJ2_PF02037_1,0.29741312305661716,Domainome 1.0
Q9BV68_PF14369_11,0.3896268236117151,Domainome 1.0
Q9BY11_PF14604_387,0.27321681602064884,Domainome 1.0
Q9BYM8_PF01485_369,0.33646510972501986,Domainome 1.0
Q9BYW2_PF00397_2382,0.3755633566501996,Domainome 1.0
Q9BZM3_PF00046_204,0.14023860555308298,Domainome 1.0
Q9C030_PF00643_93,0.3055201905791708,Domainome 1.0
Q9C0A1_PF00046_1859,0.24543083870968663,Domainome 1.0
Q9GZV5_PF00397_116,0.5941922801540805,Domainome 1.0
Q9H000_PF00642_37,0.2421835925442225,Domainome 1.0
Q9H0A6_PF00612_189,0.2637537073264027,Domainome 1.0
Q9H0M0_PF00397_343,0.3977401754853048,Domainome 1.0
Q9H161_PF00046_216,0.15170670591161728,Domainome 1.0
Q9H2P0_PF00046_770,-9.88243900263308e-4,Domainome 1.0
Q9H347_PF00627_613,0.3617450460701551,Domainome 1.0
Q9H3D4_PF07647_545,0.5359483686256132,Domainome 1.0
Q9H3Z4_PF00226_16,0.07628049862522113,Domainome 1.0
Q9H4A3_PF12202_481,0.10438059748868744,Domainome 1.0
Q9H6I2_PF00505_69,0.12580955276262717,Domainome 1.0
Q9H7E2_PF00567_554,0.32520135607932243,Domainome 1.0
Q9H9D4_PF00096_383,0.12611629296734228,Domainome 1.0
Q9H9L4_PF13891_28,0.35836470736353065,Domainome 1.0
Q9HA38_PF12171_246,0.26407999829181583,Domainome 1.0
Q9HAU4_PF00397_150,0.2497353220383025,Domainome 1.0
Q9HAZ2_PF00096_282,0.17460498139598613,Domainome 1.0
Q9HC78_PF00096_635,0.2853916891986562,Domainome 1.0
Q9HC78_PF00096_663,0.17942682014283107,Domainome 1.0
Q9HC78_PF00096_716,0.6039443999850991,Domainome 1.0
